Category,Count,Serving_Size
음료,4973,
아이스크림,1089,
제과,180,
바,65,200ml당
유제품,16,
초콜릿,13,
커피,7,"13g당, 20g당, 40g당, 17g당, 200ml당, 12g당, 14g당, 20ml당"
주류,7,"281ml당, 250ml당, 300ml당, 325ml당, 350ml당, 330ml당, 200ml당, 275ml당"
사탕,4,"80ml당, 130ml당, 12g당, 195ml당, 56ml당, 470ml당, 30g당, 28, 180ml당, 11g당, 330ml당, 10gl당, 35ml당, 410ml당, 45ml당, 281ml당, 65, 160ml당, 290ml당, 360ml당, 50g당, 370ml당, 40ml당, 300ml당, 500ml당, 200ml당, 320ml당, 185ml당, 238ml당, 240ml당, 260ml당, 460ml당, 125ml당, 275ml당, 250ml당, 90ml당, 18g당, 190ml당, 138ml당, 100ml당, 17g당, 20g당, 13g당, 591ml당, 325ml당, 475ml당, 20gl당, 20ml당, 25ml당, 50ml당, 600ml당, 60g당, 8g당, 5g당, 30ml당, 85ml당, 1L당, 270ml당, 220ml당, 375ml당, 345ml당, 400ml당, 170ml당, 35g당, 210ml당, 175ml당, 750ml당, 150ml당, 568ml당, 37, 135ml당, 230ml당, 100g당, 11, 355ml당, 100g, 390ml당, 140ml당, 120ml당, 40g당, 340ml당, 449ml당, 250ml, 3g당, 288ml당, 280ml당, 420ml당, 5ml당, 14g당, 3ml당, 70g당, 70ml당, 350ml당, 167ml당"
탄산,3,"281ml당, 250ml당, 230ml당, 300ml당, 325ml당, 240ml당, 200ml당, 175ml당"
떡,3,
과자,1,"281ml당, 250ml당, 230ml당, 300ml당, 325ml당, 240ml당, 200ml당, 175ml당"
기타,1,
시리얼,1,
